,AID,GI,GeneID,ProteinName,GeneSymbol
74,1347415,124469,3106,Interferon beta,IFNB1
75,1347415,124469,3106,Interferon beta,HLA-B
76,1347413,124469,3456,Interferon beta,IFNB1
77,1347413,124469,3456,Interferon beta,HLA-B
78,1347413,124469,3106,Interferon beta,IFNB1
79,1347413,124469,3106,Interferon beta,HLA-B
80,1347411,124469,3456,Interferon beta,IFNB1
81,1347407,124469,3456,Interferon beta,IFNB1
82,1347405,124469,3456,Interferon beta,IFNB1
83,1347405,124469,3456,Interferon beta,HLA-B
84,1347405,124469,3106,Interferon beta,IFNB1
85,1347405,124469,3106,Interferon beta,HLA-B
86,1347425,27502811,8493,PPM1D protein,PPM1D
87,1347424,27502811,8493,PPM1D protein,PPM1D
88,1347417,,,,
89,1347416,,,,
90,652016,160794,116160065,Luciferase,LOC116160065
91,652015,84399,,Renilla-luciferin 2-monooxygenase (EC 1.13.12.5) - sea pansy (Renilla reniformis) (fragment),
92,1346987,,,,
93,1345083,,,,
94,1345082,,,,
95,1296008,,,,
96,1347399,177975,43,acetylcholinesterase,ACHE
97,1347398,177975,43,acetylcholinesterase,ACHE
98,1347397,177975,43,acetylcholinesterase,ACHE
99,1347395,177975,43,acetylcholinesterase,ACHE
100,1347055,16924307,2271,Fumarate hydratase,FH
101,624147,62359610,,"hypothetical protein, conserved",
102,743266,296080761,5745,parathyroid hormone/parathyroid hormone-related peptide receptor precursor,PTH1R
103,1347072,4503895,2584,galactokinase,GALK1
104,1259347,,,,
105,1259346,,,,
106,1259345,,,,
107,1347053,1215208940,,polyprotein,
108,1347040,41872631,2194,fatty acid synthase,FASN
109,1346985,325495557,8856,pregnane X nuclear receptor,NR1I2
110,1346984,115371803,1576,cytochrome P450 family 3 subfamily A polypeptide 4,CYP3A4
111,1346983,149060517,84385,"nuclear receptor subfamily 1, group I, member 2",Nr1i2
112,1346982,325495557,8856,pregnane X nuclear receptor,NR1I2
113,1346981,,,,
114,1346980,344258838,100689061,caspase-3,Casp3
115,1346980,344258838,100689061,caspase-3,Casp7
116,1346980,344258838,100689061,Caspase-7,Casp3
117,1346980,344258838,100689061,Caspase-7,Casp7
118,1346980,344258838,100766857,caspase-3,Casp3
119,1346980,344258838,100766857,caspase-3,Casp7
120,1346980,344258838,100766857,Caspase-7,Casp3
121,1346980,344258838,100766857,Caspase-7,Casp7
122,1346980,346227169,100689061,caspase-3,Casp3
123,1346980,346227169,100689061,caspase-3,Casp7
124,1346980,346227169,100689061,Caspase-7,Casp3
125,1346980,346227169,100689061,Caspase-7,Casp7
126,1346980,346227169,100766857,caspase-3,Casp3
127,1346980,346227169,100766857,caspase-3,Casp7
128,1346980,346227169,100766857,Caspase-7,Casp3
129,1346980,346227169,100766857,Caspase-7,Casp7
130,1346979,,,,
131,1346978,16516817,840,"caspase 7, apoptosis-related cysteine protease",CASP7
132,1346978,16516817,840,"caspase 7, apoptosis-related cysteine protease",CASP3
133,1346978,16516817,840,caspase-3,CASP7
134,1346978,16516817,840,caspase-3,CASP3
135,1346978,16516817,836,"caspase 7, apoptosis-related cysteine protease",CASP7
136,1346978,16516817,836,"caspase 7, apoptosis-related cysteine protease",CASP3
137,1346978,16516817,836,caspase-3,CASP7
138,1346978,16516817,836,caspase-3,CASP3
139,1346978,30582205,840,"caspase 7, apoptosis-related cysteine protease",CASP7
140,1346978,30582205,840,"caspase 7, apoptosis-related cysteine protease",CASP3
141,1346978,30582205,840,caspase-3,CASP7
142,1346978,30582205,840,caspase-3,CASP3
143,1346978,30582205,836,"caspase 7, apoptosis-related cysteine protease",CASP7
144,1346978,30582205,836,"caspase 7, apoptosis-related cysteine protease",CASP3
145,1346978,30582205,836,caspase-3,CASP7
146,1346978,30582205,836,caspase-3,CASP3
147,1346977,,,,
148,1346924,15928762,4087,SMAD family member 2,SMAD2
149,1346924,15928762,4087,SMAD family member 2,SMAD3
150,1346924,15928762,4087,SMAD family member 3,SMAD2
151,1346924,15928762,4087,SMAD family member 3,SMAD3
152,1346924,15928762,4088,SMAD family member 2,SMAD2
153,1346924,15928762,4088,SMAD family member 2,SMAD3
154,1346924,15928762,4088,SMAD family member 3,SMAD2
155,1346924,15928762,4088,SMAD family member 3,SMAD3
156,1346924,29792115,4087,SMAD family member 2,SMAD2
157,1346924,29792115,4087,SMAD family member 2,SMAD3
158,1346924,29792115,4087,SMAD family member 3,SMAD2
159,1346924,29792115,4087,SMAD family member 3,SMAD3
160,1346924,29792115,4088,SMAD family member 2,SMAD2
161,1346924,29792115,4088,SMAD family member 2,SMAD3
162,1346924,29792115,4088,SMAD family member 3,SMAD2
163,1346924,29792115,4088,SMAD family member 3,SMAD3
164,1346891,119612329,7201,thyrotropin-releasing hormone receptor,TRHR
165,1346877,119612329,7201,thyrotropin-releasing hormone receptor,TRHR
166,1346859,29792115,4087,SMAD family member 3,SMAD2
167,1346859,29792115,4087,SMAD family member 3,SMAD3
168,1346859,29792115,4087,SMAD family member 2,SMAD2
169,1346859,29792115,4087,SMAD family member 2,SMAD3
170,1346859,29792115,4088,SMAD family member 3,SMAD2
171,1346859,29792115,4088,SMAD family member 3,SMAD3
172,1346859,29792115,4088,SMAD family member 2,SMAD2
173,1346859,29792115,4088,SMAD family member 2,SMAD3
174,1346859,15928762,4087,SMAD family member 3,SMAD2
175,1346859,15928762,4087,SMAD family member 3,SMAD3
176,1346859,15928762,4087,SMAD family member 2,SMAD2
177,1346859,15928762,4087,SMAD family member 2,SMAD3
178,1346859,15928762,4088,SMAD family member 3,SMAD2
179,1346859,15928762,4088,SMAD family member 3,SMAD3
180,1346859,15928762,4088,SMAD family member 2,SMAD2
181,1346859,15928762,4088,SMAD family member 2,SMAD3
182,1346829,,,,
183,1346824,,,,
184,1346799,,,,
185,1346798,,,,
186,1346795,82393684,5241,progesterone receptor,PGR
187,1346784,82393684,5241,progesterone receptor,PGR
188,1345199,,,,
189,1345085,,,,
190,1345084,,,,
191,1296009,,,,
192,1259427,,,,
193,1259426,550600288,5570400,NPYLR7B,LOC5570400
194,2676,85986601,59350,relaxin receptor 1 isoform 1,RXFP1
195,1259386,,,,
196,1259385,119601739,7253,thyroid stimulating hormone receptor,TSHR
197,1259384,,,,
198,1259383,348019627,2099,estrogen nuclear receptor alpha,ESR1
199,1259382,,,,
200,1259381,124375976,367,AR protein,AR
201,1259380,,,,
202,1259379,,,,
203,1259378,54288833,2100,estrogen receptor 2 (ER beta),ESR2
204,1259377,54288833,2100,estrogen receptor 2 (ER beta),ESR2
205,1259369,109731339,2737,GLI family zinc finger 3,GLI3
206,1259368,109731339,2737,GLI family zinc finger 3,GLI3
207,1259367,,,,
208,1259366,,,,
209,1259365,,,,
210,1259364,1013403374,9734,histone deacetylase 9 isoform 3,HDAC9
211,1259362,,,,
212,1259360,,,,
213,1259359,,,,
214,1259358,,,,
215,1259357,,,,
216,1224849,325495545,2101,estrogen-related nuclear receptor alpha,ESRRA
217,1224848,325495545,2101,estrogen-related nuclear receptor alpha,ESRRA
218,1224842,325495545,2101,estrogen-related nuclear receptor alpha,ESRRA
219,1224841,325495545,2101,estrogen-related nuclear receptor alpha,ESRRA
220,1224840,,,,
221,1224834,,,,
222,1259356,,,,
223,1259355,,,,
224,1259344,,,,
225,588834,325651834,3757,potassium voltage-gated channel subfamily H member 2 isoform d,KCNH2
226,1159536,,,,
227,1259321,,,,
228,1259320,,,,
229,1259256,169655958,,EWS/FLI fusion protein,
230,1259255,169655958,,EWS/FLI fusion protein,
231,1259253,169655958,,EWS/FLI fusion protein,
232,1259252,169655958,,EWS/FLI fusion protein,
233,1259244,348019627,2099,estrogen nuclear receptor alpha,ESR1
234,1259243,124375976,367,AR protein,AR
235,1259242,,,,
236,1259241,,,,
237,720687,,,,
238,720675,,,,
239,720674,,,,
240,1224890,,,,
241,1224889,,,,
242,1224888,,,,
243,1224887,,,,
244,1224886,,,,
245,1224885,,,,
246,1224884,,,,
247,1224883,,,,
248,1224882,,,,
249,1224881,,,,
250,1224880,,,,
251,1224879,,,,
252,1224878,,,,
253,1224877,,,,
254,1224876,,,,
255,1224875,,,,
256,1224874,,,,
257,1224873,,,,
258,1224872,,,,
259,1224871,,,,
260,1224870,,,,
261,1224869,,,,
262,1224868,,,,
263,1224867,,,,
264,1224862,,,,
265,1224861,,,,
266,1224860,,,,
267,1224859,,,,
268,1224858,,,,
269,1224857,,,,
270,1224856,,,,
271,1224855,,,,
272,1224854,,,,
273,1224853,,,,
274,1224852,,,,
275,1224863,90421313,1080,cystic fibrosis transmembrane conductance regulator,CFTR
276,1224847,,,,
277,1224846,11995455,3091,hypoxia-inducible factor 1 alpha subunit,HIF1A
278,1224845,344243002,100757539,Histone H2A.x,LOC100757539
279,1224844,,,,
280,1224843,119601739,7253,thyroid stimulating hormone receptor,TSHR
281,1224839,66775687,9970,"nuclear receptor subfamily 1, group I, member 3",NR1I3
282,1224838,66775687,9970,"nuclear receptor subfamily 1, group I, member 3",NR1I3
283,1224837,,,,
284,1224836,,,,
285,1224835,160794,116160065,Luciferase,LOC116160065
286,1224825,,,,
287,1224824,,,,
288,1224823,325495545,2101,estrogen-related nuclear receptor alpha,ESRRA
289,1224822,,,,
290,1224821,325495545,2101,estrogen-related nuclear receptor alpha,ESRRA
291,1224820,325495545,2101,estrogen-related nuclear receptor alpha,ESRRA
292,1224819,325495545,2101,estrogen-related nuclear receptor alpha,ESRRA
293,1224818,,,,
294,1159614,22328079,2581,GALC protein,GALC
295,1159605,5174547,4217,mitogen-activated protein kinase kinase kinase 5,MAP3K5
296,1159604,5174547,4217,mitogen-activated protein kinase kinase kinase 5,MAP3K5
297,1159513,,,,
298,1159512,,,,
299,1159511,,,,
300,1159510,,,,
301,1382,66360678,,"Chain A, Glucosylceramidase",
302,1159577,,,,
303,1159575,,,,
304,1159574,,,,
305,1159573,,,,
306,1159572,,,,
307,1159571,,,,
308,1159570,,,,
309,1159569,,,,
310,1159568,,,,
311,1159567,,,,
312,1159566,,,,
313,1159553,325495463,5914,retinoic acid nuclear receptor alpha variant 1,RARA
314,1159552,325495463,5914,retinoic acid nuclear receptor alpha variant 1,RARA
315,1159551,,,,
316,720691,311348376,2908,glucocorticoid receptor [Homo sapiens],NR3C1
317,1159529,,,,
318,1159527,325495497,6256,retinoid X nuclear receptor alpha,RXRA
319,1159526,119627033,3725,v-jun sarcoma virus 17 oncogene homolog (avian),JUN
320,1159525,,,,
321,1159524,,,,
322,1159521,15928672,19885,RAR-related orphan receptor gamma,Rorc
323,1159520,,,,
324,1159517,,,,
325,1159516,119611100,22926,activating transcription factor 6,ATF6
326,1159515,,,,
327,1159509,119626539,4790,"nuclear factor of kappa light polypeptide gene enhancer in B-cells 1 (p105), isoform CRA_a",NFKB1
328,1159507,,,,
329,1117362,1389744,,glutathione-S-transferase,
330,1117358,,,,
331,1117361,9629358,155871,Tat,tat
332,1117359,,,,
333,1117319,13399304,155459,Vif,vif
334,1117319,13399304,155459,Vif,APOBEC3G
335,1117319,13399304,155459,DNA dC->dU-editing enzyme APOBEC-3G isoform 1,vif
336,1117319,13399304,155459,DNA dC->dU-editing enzyme APOBEC-3G isoform 1,APOBEC3G
337,1117319,13399304,60489,Vif,vif
338,1117319,13399304,60489,Vif,APOBEC3G
339,1117319,13399304,60489,DNA dC->dU-editing enzyme APOBEC-3G isoform 1,vif
340,1117319,13399304,60489,DNA dC->dU-editing enzyme APOBEC-3G isoform 1,APOBEC3G
341,1117319,9629361,155459,Vif,vif
342,1117319,9629361,155459,Vif,APOBEC3G
343,1117319,9629361,155459,DNA dC->dU-editing enzyme APOBEC-3G isoform 1,vif
344,1117319,9629361,155459,DNA dC->dU-editing enzyme APOBEC-3G isoform 1,APOBEC3G
345,1117319,9629361,60489,Vif,vif
346,1117319,9629361,60489,Vif,APOBEC3G
347,1117319,9629361,60489,DNA dC->dU-editing enzyme APOBEC-3G isoform 1,vif
348,1117319,9629361,60489,DNA dC->dU-editing enzyme APOBEC-3G isoform 1,APOBEC3G
349,743466,120660252,2914,"Glutamate receptor, metabotropic 4",GRM4
350,743447,51095079,2918,"glutamate receptor, metabotropic 8",GRM8
351,743425,51095079,2918,"glutamate receptor, metabotropic 8",GRM8
352,743421,119574206,2916,"glutamate receptor, metabotropic 6",GRM6
353,743393,120660252,2914,"Glutamate receptor, metabotropic 4",GRM4
354,743386,1935041,,metabotropic glutamate receptor 7 [Homo sapiens],
355,743385,1935041,,metabotropic glutamate receptor 7 [Homo sapiens],
356,743450,,,,
357,743404,,,,
358,743462,51095079,2918,"glutamate receptor, metabotropic 8",GRM8
359,743423,120660252,2914,"Glutamate receptor, metabotropic 4",GRM4
360,743400,2773044,5338,phospholipase D2,PLD2
361,743391,2773044,5338,phospholipase D2,PLD2
362,743390,7161183,5337,"phospholipase D1, partial",PLD1
363,743389,7161183,5337,"phospholipase D1, partial",PLD1
364,743384,1935041,,metabotropic glutamate receptor 7 [Homo sapiens],
365,743378,49456799,1812,"DRD1, partial",DRD1
366,743377,17986270,1813,D(2) dopamine receptor isoform short,DRD2
367,743376,4503385,1813,D(2) dopamine receptor isoform long,DRD2
368,743375,806903,1814,dopamine D3 receptor,DRD3
369,743374,119613085,1816,dopamine receptor D5,DRD5
370,1117297,48145933,7276,TTR,TTR
371,1117296,48145933,7276,TTR,TTR
372,1117295,342179211,,"RNA-editing ligase 1, mitochondrial",
373,1117286,40807029,64167,ERAP2 protein,ERAP2
374,1117293,,,,
375,1117292,21315078,51752,ERAP1 protein,ERAP1
376,1117291,,,,
377,1117290,,,,
378,1117289,40807029,64167,ERAP2 protein,ERAP2
379,1117288,27370240,240028,leucyl-cystinyl aminopeptidase [Mus musculus],Lnpep
380,1117287,21315078,51752,ERAP1 protein,ERAP1
381,743411,4826706,1880,G-protein coupled receptor 183,GPR183
382,743410,4826706,1880,G-protein coupled receptor 183,GPR183
383,743408,4826706,1880,G-protein coupled receptor 183,GPR183
384,743310,4758208,1845,dual specificity protein phosphatase 3,DUSP3
385,743309,224586929,26191,tyrosine-protein phosphatase non-receptor type 22 isoform 1,PTPN22
386,743308,4757714,52,low molecular weight phosphotyrosine protein phosphatase isoform c,ACP1
387,743307,1709543,52,Low molecular weight phosphotyrosine protein phosphatase,ACP1
388,1117285,27370240,240028,leucyl-cystinyl aminopeptidase [Mus musculus],Lnpep
389,743363,15608708,886338,ATP-dependent dethiobiotin synthetase BioD,bioD
390,743360,,,,
391,743358,,,,
392,743357,378544807,,bioA,
393,743354,,,,
394,743318,,,,
395,743316,,,,
396,743315,,,,
397,743313,,,,
398,743312,,,,
399,743311,,,,
400,743305,,,,
401,743304,,,,
402,743303,,,,
403,743302,,,,
404,743298,,,,
405,743159,,,,
406,743158,,,,
407,743131,,,,
408,743129,,,,
409,743128,,,,
410,743123,,,,
411,720728,,,,
412,743356,,,,
413,1117284,,,,
414,1117283,,,,
415,743195,16306661,216,"Aldehyde dehydrogenase 1 family, member A1",ALDH1A1
416,743193,160332366,100009074,Glyceraldehyde-3-phosphate dehydrogenase,GAPDH
417,743192,291575128,3945,L-lactate dehydrogenase B chain isoform LDHB,LDHB
418,743187,1706396,3295,Peroxisomal multifunctional enzyme type 2,HSD17B4
419,743179,,,,
420,743178,,,,
421,743171,31542939,3248,15-hydroxyprostaglandin dehydrogenase [NAD(+)] isoform 1,HPGD
422,743170,,,,
423,743169,49456389,3939,"LDHA, partial",LDHA
424,743168,,,,
425,743161,,,,
426,743160,,,,
427,1117278,,,,
428,1117277,,,,
429,1117274,,,,
430,1117273,,,,
431,1117272,,,,
432,1117271,,,,
433,743083,119597822,1588,"cytochrome P450, family 19, subfamily A, polypeptide 1, isoform CRA_a",CYP19A1
434,1117265,21264324,134864,trace amine-associated receptor 1,TAAR1
435,1083212,23510348,51567,tyrosyl-DNA phosphodiesterase 2,TDP2
436,743225,,,,
437,743224,,,,
438,743223,216409708,7421,"vitamin D (1,25- dihydroxyvitamin D3) receptor",VDR
439,743222,216409708,7421,"vitamin D (1,25- dihydroxyvitamin D3) receptor",VDR
440,743221,,,,
441,743220,325495553,9971,farnesoid X nuclear receptor,NR1H4
442,743218,,,,
443,743217,325495553,9971,farnesoid X nuclear receptor,NR1H4
444,743215,216409690,5467,peroxisome proliferator-activated receptor delta,PPARD
445,743213,,,,
446,743212,216409690,5467,peroxisome proliferator-activated receptor delta,PPARD
447,743211,,,,
448,743210,4504517,3315,heat shock protein beta-1,HSPB1
449,743209,,,,
450,743203,,,,
451,743202,20149576,4780,nuclear factor erythroid 2-related factor 2 isoform 1,NFE2L2
452,743194,,,,
453,743191,216409692,5468,peroxisome proliferator activated receptor gamma,PPARG
454,743094,216409692,5468,peroxisome proliferator activated receptor gamma,PPARG
455,743086,,,,
456,743085,51095037,196,aryl hydrocarbon receptor,AHR
457,743084,,,,
458,743081,,,,
459,743080,348019627,2099,estrogen nuclear receptor alpha,ESR1
460,743079,348019627,2099,estrogen nuclear receptor alpha,ESR1
461,743075,348019627,2099,estrogen nuclear receptor alpha,ESR1
462,743074,,,,
463,743069,348019627,2099,estrogen nuclear receptor alpha,ESR1
464,743066,399498506,24831,thyroid hormone receptor beta isoform 2,Thrb
465,743065,399498506,24831,thyroid hormone receptor beta isoform 2,Thrb
466,743064,,,,
467,743042,124375976,367,AR protein,AR
468,743041,,,,
469,743040,124375976,367,AR protein,AR
470,743036,124375976,367,AR protein,AR
471,743035,124375976,367,AR protein,AR
472,743033,,,,
473,743015,,,,
474,743014,,,,
475,743012,,,,
476,720693,,,,
477,720692,311348376,2908,glucocorticoid receptor [Homo sapiens],NR3C1
478,720686,,,,
479,720685,,,,
480,720684,,,,
481,720683,,,,
482,720682,,,,
483,720681,,,,
484,720680,,,,
485,720679,,,,
486,720678,,,,
487,720635,,,,
488,720634,,,,
489,651634,,,,
490,651633,,,,
491,651632,296439460,79915,ATPase family AAA domain-containing protein 5; Chromosome fragility-associated gene 1 protein,ATAD5
492,651631,269849759,7157,Cellular tumor antigen p53,TP53
493,743118,5453722,10434,acyl-protein thioesterase 1 isoform 1,LYPLA1
494,743118,5453722,10434,acyl-protein thioesterase 1 isoform 1,LYPLA2
495,743118,5453722,10434,acyl-protein thioesterase 2,LYPLA1
496,743118,5453722,10434,acyl-protein thioesterase 2,LYPLA2
497,743118,5453722,11313,acyl-protein thioesterase 1 isoform 1,LYPLA1
498,743118,5453722,11313,acyl-protein thioesterase 1 isoform 1,LYPLA2
499,743118,5453722,11313,acyl-protein thioesterase 2,LYPLA1
500,743118,5453722,11313,acyl-protein thioesterase 2,LYPLA2
501,743118,9966764,10434,acyl-protein thioesterase 1 isoform 1,LYPLA1
502,743118,9966764,10434,acyl-protein thioesterase 1 isoform 1,LYPLA2
503,743118,9966764,10434,acyl-protein thioesterase 2,LYPLA1
504,743118,9966764,10434,acyl-protein thioesterase 2,LYPLA2
505,743118,9966764,11313,acyl-protein thioesterase 1 isoform 1,LYPLA1
506,743118,9966764,11313,acyl-protein thioesterase 1 isoform 1,LYPLA2
507,743118,9966764,11313,acyl-protein thioesterase 2,LYPLA1
508,743118,9966764,11313,acyl-protein thioesterase 2,LYPLA2
509,1053204,71746704,3662741,"methionyl-tRNA synthetase, putative",Tb10.70.6470
510,1053203,71746704,3662741,"methionyl-tRNA synthetase, putative",Tb10.70.6470
511,743166,,,,
512,743057,119617521,552,arginine vasopressin receptor 1A,AVPR1A
513,743056,166714263,553,arginine vasopressin receptor 1b,AVPR1B
514,743132,31560264,18777,fatty acid amide hydrolase,Lypla1
515,743132,31560264,18777,fatty acid amide hydrolase,Abhd6
516,743132,31560264,18777,acyl-protein thioesterase 1 isoform 1,Lypla1
517,743132,31560264,18777,acyl-protein thioesterase 1 isoform 1,Abhd6
518,743132,31560264,18777,monoacylglycerol lipase ABHD6 isoform 1,Lypla1
519,743132,31560264,18777,monoacylglycerol lipase ABHD6 isoform 1,Abhd6
520,743132,31560264,66082,fatty acid amide hydrolase,Lypla1
521,743132,31560264,66082,fatty acid amide hydrolase,Abhd6
522,743132,31560264,66082,acyl-protein thioesterase 1 isoform 1,Lypla1
523,743132,31560264,66082,acyl-protein thioesterase 1 isoform 1,Abhd6
524,743132,31560264,66082,monoacylglycerol lipase ABHD6 isoform 1,Lypla1
525,743132,31560264,66082,monoacylglycerol lipase ABHD6 isoform 1,Abhd6
526,743132,6678760,18777,fatty acid amide hydrolase,Lypla1
527,743132,6678760,18777,fatty acid amide hydrolase,Abhd6
528,743132,6678760,18777,acyl-protein thioesterase 1 isoform 1,Lypla1
529,743132,6678760,18777,acyl-protein thioesterase 1 isoform 1,Abhd6
530,743132,6678760,18777,monoacylglycerol lipase ABHD6 isoform 1,Lypla1
531,743132,6678760,18777,monoacylglycerol lipase ABHD6 isoform 1,Abhd6
532,743132,6678760,66082,fatty acid amide hydrolase,Lypla1
533,743132,6678760,66082,fatty acid amide hydrolase,Abhd6
534,743132,6678760,66082,acyl-protein thioesterase 1 isoform 1,Lypla1
535,743132,6678760,66082,acyl-protein thioesterase 1 isoform 1,Abhd6
536,743132,6678760,66082,monoacylglycerol lipase ABHD6 isoform 1,Lypla1
537,743132,6678760,66082,monoacylglycerol lipase ABHD6 isoform 1,Abhd6
538,743132,123253900,18777,fatty acid amide hydrolase,Lypla1
539,743132,123253900,18777,fatty acid amide hydrolase,Abhd6
540,743132,123253900,18777,acyl-protein thioesterase 1 isoform 1,Lypla1
541,743132,123253900,18777,acyl-protein thioesterase 1 isoform 1,Abhd6
542,743132,123253900,18777,monoacylglycerol lipase ABHD6 isoform 1,Lypla1
543,743132,123253900,18777,monoacylglycerol lipase ABHD6 isoform 1,Abhd6
544,743132,123253900,66082,fatty acid amide hydrolase,Lypla1
545,743132,123253900,66082,fatty acid amide hydrolase,Abhd6
546,743132,123253900,66082,acyl-protein thioesterase 1 isoform 1,Lypla1
547,743132,123253900,66082,acyl-protein thioesterase 1 isoform 1,Abhd6
548,743132,123253900,66082,monoacylglycerol lipase ABHD6 isoform 1,Lypla1
549,743132,123253900,66082,monoacylglycerol lipase ABHD6 isoform 1,Abhd6
550,743110,20373106,1133,muscarinic acetylcholine receptor M5,CHRM5
551,743058,238055929,554,arginine vasopressin receptor 2,AVPR2
552,743055,187951685,5021,Oxytocin receptor,OXTR
553,743127,,,,
554,743119,9966764,11313,acyl-protein thioesterase 2,LYPLA2
555,743119,9966764,11313,acyl-protein thioesterase 2,LYPLA1
556,743119,9966764,11313,acyl-protein thioesterase 1 isoform 1,LYPLA2
557,743119,9966764,11313,acyl-protein thioesterase 1 isoform 1,LYPLA1
558,743119,9966764,10434,acyl-protein thioesterase 2,LYPLA2
559,743119,9966764,10434,acyl-protein thioesterase 2,LYPLA1
560,743119,9966764,10434,acyl-protein thioesterase 1 isoform 1,LYPLA2
561,743119,9966764,10434,acyl-protein thioesterase 1 isoform 1,LYPLA1
562,743119,5453722,11313,acyl-protein thioesterase 2,LYPLA2
563,743119,5453722,11313,acyl-protein thioesterase 2,LYPLA1
564,743119,5453722,11313,acyl-protein thioesterase 1 isoform 1,LYPLA2
565,743119,5453722,11313,acyl-protein thioesterase 1 isoform 1,LYPLA1
566,743119,5453722,10434,acyl-protein thioesterase 2,LYPLA2
567,743119,5453722,10434,acyl-protein thioesterase 2,LYPLA1
568,743119,5453722,10434,acyl-protein thioesterase 1 isoform 1,LYPLA2
569,743119,5453722,10434,acyl-protein thioesterase 1 isoform 1,LYPLA1
570,743114,20302973,1131,muscarinic acetylcholine receptor M3,CHRM3
571,743113,111185572,1132,"CHRM4 protein, partial",CHRM4
572,743112,8393123,53949,muscarinic acetylcholine receptor M5,Chrm5
573,743109,54792117,1129,muscarinic acetylcholine receptor M2,CHRM2
574,743108,37622910,1128,muscarinic acetylcholine receptor M1,CHRM1
575,743105,111185572,1132,"CHRM4 protein, partial",CHRM4
576,743103,20302973,1131,muscarinic acetylcholine receptor M3,CHRM3
577,743099,54792117,1129,muscarinic acetylcholine receptor M2,CHRM2
578,743098,37622910,1128,muscarinic acetylcholine receptor M1,CHRM1
579,1053206,,,,
580,1053205,,,,
